,Параметр,Порог %,Условие,MW p-value,t-test p_value,+ mean,+ std,- mean,- std,count
280,КА,>12%,A,0.04,0.02,4.76,1.88,3.13,1.25,79
281,Грелин 1 час (нг/мл) 0 мес.1,>12%,A,0.05,0.29,1.64,1.39,8.15,8.24,35
282,sST2/Лептин 0 мес,>12%,A,0.7,0.0,1.5,2.0,0.29,0.41,34
283,"ЭхоКГ Ао, мм, 0 мес",>12%,A,0.1,0.0,44.0,,33.09,2.08,34
284,"ЛП, мм, 0 мес",>12%,A,0.1,0.01,52.0,,40.42,3.84,34
285,"ММ ЛЖ (LVM), г, 0 мес",>12%,A,0.1,0.0,335.0,,185.95,32.34,34
286,"ИММ ЛЖ, г/кв.м, 0 мес",>12%,A,0.1,0.0,137.0,,86.7,14.07,34
287,"КДР, мм, 0 мес",>12%,A,0.1,0.0,60.0,,47.88,2.42,34
288,"КДО, мл, 0 мес",>12%,A,0.1,0.0,170.0,,105.52,16.59,34
289,"КСО, мл, 0 мес",>12%,A,0.1,0.0,74.0,,40.27,8.65,34
290,"УО, мл, 0 мес",>12%,A,0.1,0.0,96.0,,64.93,9.15,31
291,"ММЛЖ/ (рост, м)^2,7 0 мес",>12%,A,0.1,0.0,77.47,,47.86,8.72,34
292,"ММЛЖ/ (рост, м) 0 мес",>12%,A,0.1,0.0,194.77,,112.31,18.78,34
293,"ММЛЖ/ (рост, м)2 0 мес",>12%,A,0.1,0.0,113.24,,67.96,11.71,34
294,HOMA-B,>12%,B,0.02,0.16,364.01,184.61,258.65,210.79,79
295,СКФ мл/мин/1.73м2 (> 60) 0 мес,>12%,B,0.05,0.02,112.1,26.8,93.77,17.33,64
296,"КДР, мм, 0 мес",>12%,B,0.49,0.05,52.0,6.93,48.0,2.21,34
297,"КДО, мл, 0 мес",>12%,B,0.08,0.05,129.0,35.51,105.6,14.97,34
298,"УО, мл, 0 мес",>12%,B,0.11,0.0,96.0,,65.35,8.07,31
299,"ОТС (RWT), 0 мес",>12%,B,0.01,0.01,0.36,0.02,0.41,0.03,19
300,"TAVS, см/с, 0 мес",>12%,B,0.03,0.03,11.83,0.29,12.95,0.8,34
301,"AIx (P2/P1) mmHg, 0 мес",>12%,B,0.08,0.0,55.0,67.88,124.9,22.34,33
302,Никотин В1.,>12%,B,0.14,0.04,2.0,2.69,0.59,1.27,64
303,Алкоголь В1.,>12%,B,0.13,0.01,5.22,4.71,2.45,1.98,64
304,HOMA-B,>12%,C,0.01,0.06,354.08,178.2,244.9,177.4,79
305,miR142 (ПЛАЗМА) 0 мес,>12%,C,0.01,0.03,128640.35,165576.8,48216.71,73602.66,50
306,miR155 0 мес,>12%,C,0.05,0.02,3193.48,4514.84,15208.85,5661.81,13
307,"КДР, мм, 0 мес",>12%,C,0.5,0.03,52.0,6.93,47.87,2.5,34
308,"КДО, мл, 0 мес",>12%,C,0.1,0.05,129.0,35.51,105.32,17.1,34
309,"УО, мл, 0 мес",>12%,C,0.1,0.0,96.0,,64.93,9.15,31
310,"ОТС (RWT), 0 мес",>12%,C,0.02,0.02,0.36,0.02,0.42,0.04,19
311,"TAVS, см/с, 0 мес",>12%,C,0.02,0.02,11.83,0.29,13.1,0.89,34
312,"AIx (P2/P1) mmHg, 0 мес",>12%,C,0.06,0.0,55.0,67.88,124.71,26.04,33
313,ДАД,>12%,D,0.02,0.02,60.0,0.0,72.7,9.25,79
314,Пульс,>12%,D,0.04,0.04,65.33,6.11,77.26,9.88,76
315,Глюкоза,>12%,D,0.01,0.0,4.39,0.29,5.42,0.58,79
316,OXC,>12%,D,0.04,0.03,6.27,0.83,4.98,1.01,79
317,ЛПНП,>12%,D,0.01,0.0,4.38,0.62,2.99,0.77,79
318,PRDM16 0 мес,>12%,D,0.01,0.62,8.25,,3.23,9.6,27
319,Проколлаген 3 типа пг/мл (11178-36957) 0 мес,>12%,D,0.05,0.2,1885.0,0.0,9380.6,7869.73,44
320,Е-селектин нг/мл 0 мес,>12%,D,0.13,0.01,72.6,,35.74,13.57,31
321,sST2/Лептин 0 мес,>12%,D,0.06,0.0,2.92,,0.29,0.4,34
322,"ЭхоКГ Ао, мм, 0 мес",>12%,D,0.1,0.0,44.0,,33.09,2.08,34
323,"ЛП, мм, 0 мес",>12%,D,0.1,0.01,52.0,,40.42,3.84,34
324,"ММ ЛЖ (LVM), г, 0 мес",>12%,D,0.1,0.0,335.0,,185.95,32.34,34
325,"ИММ ЛЖ, г/кв.м, 0 мес",>12%,D,0.1,0.0,137.0,,86.7,14.07,34
326,"КДР, мм, 0 мес",>12%,D,0.1,0.0,60.0,,47.88,2.42,34
327,"КДО, мл, 0 мес",>12%,D,0.1,0.0,170.0,,105.52,16.59,34
328,"КСО, мл, 0 мес",>12%,D,0.1,0.0,74.0,,40.27,8.65,34
329,"УО, мл, 0 мес",>12%,D,0.1,0.0,96.0,,64.93,9.15,31
330,"ММЛЖ/ (рост, м)^2,7 0 мес",>12%,D,0.1,0.0,77.47,,47.86,8.72,34
331,"ММЛЖ/ (рост, м) 0 мес",>12%,D,0.1,0.0,194.77,,112.31,18.78,34
332,"ММЛЖ/ (рост, м)2 0 мес",>12%,D,0.1,0.0,113.24,,67.96,11.71,34
333,Эмоциональное ПП,>12%,D,0.04,0.04,1.73,0.64,3.04,1.08,79
334,"Индекс Висцерального Ожирения (ИВО) 0 мес: [ОТ/(39,68+(1,88×ИМТ))×(ТГ/1,03)×(1,31/ЛВП)] — для мужчин, [ОТ/(36,58+(1,89×ИМТ))×(ТГ/0,81)×(1,52/ЛВП)] — для женщин",>13%,A,0.05,0.26,0.98,0.08,2.5,1.86,79
335,ДАД,>13%,A,0.05,0.06,60.0,0.0,72.53,9.3,79
336,Глюкоза,>13%,A,0.04,0.04,4.53,0.25,5.4,0.59,79
337,OXC,>13%,A,0.04,0.02,6.66,0.69,4.99,1.01,79
338,ЛПНП,>13%,A,0.03,0.01,4.6,0.69,3.0,0.77,79
339,"ЭхоКГ Ао, мм, 0 мес",>13%,A,0.1,0.0,44.0,,33.09,2.08,34
340,"ЛП, мм, 0 мес",>13%,A,0.1,0.01,52.0,,40.42,3.84,34
341,"ММ ЛЖ (LVM), г, 0 мес",>13%,A,0.1,0.0,335.0,,185.95,32.34,34
342,"ИММ ЛЖ, г/кв.м, 0 мес",>13%,A,0.1,0.0,137.0,,86.7,14.07,34
343,"КДР, мм, 0 мес",>13%,A,0.1,0.0,60.0,,47.88,2.42,34
344,"КДО, мл, 0 мес",>13%,A,0.1,0.0,170.0,,105.52,16.59,34
345,"КСО, мл, 0 мес",>13%,A,0.1,0.0,74.0,,40.27,8.65,34
346,"УО, мл, 0 мес",>13%,A,0.1,0.0,96.0,,64.93,9.15,31
347,"ММЛЖ/ (рост, м)^2,7 0 мес",>13%,A,0.1,0.0,77.47,,47.86,8.72,34
348,"ММЛЖ/ (рост, м) 0 мес",>13%,A,0.1,0.0,194.77,,112.31,18.78,34
349,"ММЛЖ/ (рост, м)2 0 мес",>13%,A,0.1,0.0,113.24,,67.96,11.71,34
350,Эмоциональное ПП,>13%,A,0.06,0.05,1.5,0.71,3.03,1.07,79
351,EQ-5,>13%,A,0.04,0.05,85.0,7.07,63.94,14.92,79
352,Пульс,>13%,B,0.02,0.02,69.0,6.35,78.44,9.78,76
353,HOMA-B,>13%,B,0.05,0.52,327.5,92.7,271.94,221.13,79
354,КА,>13%,B,0.02,0.06,4.06,1.48,3.05,1.25,79
355,PRDM16 0 мес,>13%,B,0.01,0.0,8.25,,1.44,1.88,27
356,miR125 0 мес,>13%,B,0.06,0.04,40.42,0.56,37.27,1.94,30
357,Е-селектин нг/мл 0 мес,>13%,B,0.09,0.03,59.4,18.67,35.83,13.69,31
358,sST2/Лептин 0 мес,>13%,B,0.38,0.03,1.07,1.6,0.3,0.41,34
359,"ЭхоКГ Ао, мм, 0 мес",>13%,B,0.37,0.03,38.0,8.49,32.95,2.26,34
360,"КДР, мм, 0 мес",>13%,B,0.32,0.01,54.0,8.49,48.0,2.16,34
361,"КДО, мл, 0 мес",>13%,B,0.13,0.02,139.0,43.84,105.76,14.63,34
362,"КСО, мл, 0 мес",>13%,B,0.1,0.02,58.0,22.63,39.95,7.82,34
363,"УО, мл, 0 мес",>13%,B,0.11,0.0,96.0,,65.35,8.07,31
364,"AIx (P2/P1) mmHg, 0 мес",>13%,B,0.08,0.0,55.0,67.88,124.9,22.34,33
365,Алкоголь В1.,>13%,B,0.16,0.01,6.0,5.44,2.56,2.06,64
366,Пульс,>13%,C,0.03,0.03,69.0,6.35,77.58,10.0,76
367,HOMA-B,>13%,C,0.03,0.31,327.5,92.7,253.55,185.74,79
368,КА,>13%,C,0.04,0.08,4.06,1.48,3.13,1.28,79
369,PRDM16 0 мес,>13%,C,0.01,0.62,8.25,,3.23,9.6,27
370,miR142 (ПЛАЗМА) 0 мес,>13%,C,0.05,0.02,155202.59,205394.92,50626.93,73777.84,50
371,Е-селектин нг/мл 0 мес,>13%,C,0.08,0.03,59.4,18.67,35.38,13.66,31
372,sST2/Лептин 0 мес,>13%,C,0.38,0.03,1.07,1.6,0.3,0.41,34
373,"ЭхоКГ Ао, мм, 0 мес",>13%,C,0.41,0.01,38.0,8.49,33.12,2.1,34
374,"КДР, мм, 0 мес",>13%,C,0.32,0.01,54.0,8.49,47.88,2.46,34
375,"КДО, мл, 0 мес",>13%,C,0.13,0.02,139.0,43.84,105.44,16.84,34
376,"КСО, мл, 0 мес",>13%,C,0.12,0.02,58.0,22.63,40.22,8.77,34
377,"УО, мл, 0 мес",>13%,C,0.1,0.0,96.0,,64.93,9.15,31
378,"TAVS, см/с, 0 мес",>13%,C,0.04,0.05,11.75,0.35,13.06,0.9,34
379,"AIx (P2/P1) mmHg, 0 мес",>13%,C,0.06,0.0,55.0,67.88,124.71,26.04,33
380,Алкоголь В1.,>13%,C,0.23,0.02,6.0,5.44,3.0,2.63,64
381,"Индекс Висцерального Ожирения (ИВО) 0 мес: [ОТ/(39,68+(1,88×ИМТ))×(ТГ/1,03)×(1,31/ЛВП)] — для мужчин, [ОТ/(36,58+(1,89×ИМТ))×(ТГ/0,81)×(1,52/ЛВП)] — для женщин",>13%,D,0.05,0.26,0.98,0.08,2.5,1.86,79
382,ДАД,>13%,D,0.05,0.06,60.0,0.0,72.53,9.3,79
383,Глюкоза,>13%,D,0.04,0.04,4.53,0.25,5.4,0.59,79
384,OXC,>13%,D,0.04,0.02,6.66,0.69,4.99,1.01,79
385,ЛПНП,>13%,D,0.03,0.01,4.6,0.69,3.0,0.77,79
386,"ЭхоКГ Ао, мм, 0 мес",>13%,D,0.1,0.0,44.0,,33.09,2.08,34
387,"ЛП, мм, 0 мес",>13%,D,0.1,0.01,52.0,,40.42,3.84,34
388,"ММ ЛЖ (LVM), г, 0 мес",>13%,D,0.1,0.0,335.0,,185.95,32.34,34
389,"ИММ ЛЖ, г/кв.м, 0 мес",>13%,D,0.1,0.0,137.0,,86.7,14.07,34
390,"КДР, мм, 0 мес",>13%,D,0.1,0.0,60.0,,47.88,2.42,34
391,"КДО, мл, 0 мес",>13%,D,0.1,0.0,170.0,,105.52,16.59,34
392,"КСО, мл, 0 мес",>13%,D,0.1,0.0,74.0,,40.27,8.65,34
393,"УО, мл, 0 мес",>13%,D,0.1,0.0,96.0,,64.93,9.15,31
394,"ММЛЖ/ (рост, м)^2,7 0 мес",>13%,D,0.1,0.0,77.47,,47.86,8.72,34
395,"ММЛЖ/ (рост, м) 0 мес",>13%,D,0.1,0.0,194.77,,112.31,18.78,34
396,"ММЛЖ/ (рост, м)2 0 мес",>13%,D,0.1,0.0,113.24,,67.96,11.71,34
397,Эмоциональное ПП,>13%,D,0.06,0.05,1.5,0.71,3.03,1.07,79
398,EQ-5,>13%,D,0.04,0.05,85.0,7.07,63.94,14.92,79
399,Вес 0 мес,>14%,A,0.1,0.01,144.0,,104.69,15.54,79
400,ИМТ 0 мес,>14%,A,0.09,0.02,48.7,,37.11,4.67,79
401,"индекс конусности ИК= ОТ(м)/0,109×√(рост(м)/вес (кг) 0 мес",>14%,A,0.05,0.02,107.45,,78.56,11.82,79
402,Грелин 1 час (нг/мл) 0 мес,>14%,A,0.1,0.01,10.73,,3.94,2.51,64
403,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 1 час 0 мес",>14%,A,0.1,0.01,37.49,,13.75,8.78,64
404,"ЭхоКГ Ао, мм, 0 мес",>14%,A,0.1,0.0,44.0,,33.09,2.08,34
405,"ЛП, мм, 0 мес",>14%,A,0.1,0.01,52.0,,40.42,3.84,34
406,"ММ ЛЖ (LVM), г, 0 мес",>14%,A,0.1,0.0,335.0,,185.95,32.34,34
407,"ИММ ЛЖ, г/кв.м, 0 мес",>14%,A,0.1,0.0,137.0,,86.7,14.07,34
408,"КДР, мм, 0 мес",>14%,A,0.1,0.0,60.0,,47.88,2.42,34
409,"КДО, мл, 0 мес",>14%,A,0.1,0.0,170.0,,105.52,16.59,34
410,"КСО, мл, 0 мес",>14%,A,0.1,0.0,74.0,,40.27,8.65,34
411,"УО, мл, 0 мес",>14%,A,0.1,0.0,96.0,,64.93,9.15,31
412,"ММЛЖ/ (рост, м)^2,7 0 мес",>14%,A,0.1,0.0,77.47,,47.86,8.72,34
413,"ММЛЖ/ (рост, м) 0 мес",>14%,A,0.1,0.0,194.77,,112.31,18.78,34
414,"ММЛЖ/ (рост, м)2 0 мес",>14%,A,0.1,0.0,113.24,,67.96,11.71,34
415,Пульс,>14%,B,0.04,0.04,69.17,6.94,78.2,9.8,76
416,КА,>14%,B,0.04,0.09,4.04,1.62,3.07,1.25,79
417,PRDM16 0 мес,>14%,B,0.01,0.0,8.25,,1.44,1.88,27
418,Е-селектин нг/мл 0 мес,>14%,B,0.09,0.03,59.4,18.67,35.83,13.69,31
419,sST2/Лептин 0 мес,>14%,B,0.38,0.03,1.07,1.6,0.3,0.41,34
420,"ЭхоКГ Ао, мм, 0 мес",>14%,B,0.11,0.0,44.0,,32.91,2.21,34
421,"ЛП, мм, 0 мес",>14%,B,0.11,0.02,52.0,,41.18,4.01,34
422,"ЗС ЛЖ (PW), 0 мес",>14%,B,0.12,0.05,11.0,,9.18,0.83,34
423,"ММ ЛЖ (LVM), г, 0 мес",>14%,B,0.11,0.0,335.0,,187.44,31.71,34
424,"ИММ ЛЖ, г/кв.м, 0 мес",>14%,B,0.11,0.0,137.0,,88.08,14.59,34
425,"КДР, мм, 0 мес",>14%,B,0.11,0.0,60.0,,48.0,2.11,34
426,"КДО, мл, 0 мес",>14%,B,0.11,0.0,170.0,,105.86,14.3,34
427,"КСО, мл, 0 мес",>14%,B,0.11,0.0,74.0,,40.05,7.65,34
428,"УО, мл, 0 мес",>14%,B,0.11,0.0,96.0,,65.35,8.07,31
429,"ММЛЖ/ (рост, м)^2,7 0 мес",>14%,B,0.11,0.01,77.47,,48.94,9.36,34
430,"ММЛЖ/ (рост, м) 0 мес",>14%,B,0.11,0.0,194.77,,113.8,19.06,34
431,"ММЛЖ/ (рост, м)2 0 мес",>14%,B,0.11,0.0,113.24,,69.23,12.32,34
432,Никотин В1.,>14%,B,0.07,0.02,2.6,2.97,0.67,1.43,64
433,Алкоголь В1.,>14%,B,0.11,0.0,6.8,5.67,2.55,2.03,64
434,Пульс,>14%,C,0.05,0.05,69.17,6.94,77.44,10.0,76
435,HOMA-B,>14%,C,0.05,0.36,325.72,101.42,254.71,184.73,79
436,PRDM16 0 мес,>14%,C,0.01,0.62,8.25,,3.23,9.6,27
437,Е-селектин нг/мл 0 мес,>14%,C,0.08,0.03,59.4,18.67,35.38,13.66,31
438,sST2/Лептин 0 мес,>14%,C,0.38,0.03,1.07,1.6,0.3,0.41,34
439,"ЭхоКГ Ао, мм, 0 мес",>14%,C,0.1,0.0,44.0,,33.09,2.08,34
440,"ЛП, мм, 0 мес",>14%,C,0.1,0.01,52.0,,40.42,3.84,34
441,"ММ ЛЖ (LVM), г, 0 мес",>14%,C,0.1,0.0,335.0,,185.95,32.34,34
442,"ИММ ЛЖ, г/кв.м, 0 мес",>14%,C,0.1,0.0,137.0,,86.7,14.07,34
443,"КДР, мм, 0 мес",>14%,C,0.1,0.0,60.0,,47.88,2.42,34
444,"КДО, мл, 0 мес",>14%,C,0.1,0.0,170.0,,105.52,16.59,34
445,"КСО, мл, 0 мес",>14%,C,0.1,0.0,74.0,,40.27,8.65,34
446,"УО, мл, 0 мес",>14%,C,0.1,0.0,96.0,,64.93,9.15,31
447,"ММЛЖ/ (рост, м)^2,7 0 мес",>14%,C,0.1,0.0,77.47,,47.86,8.72,34
448,"ММЛЖ/ (рост, м) 0 мес",>14%,C,0.1,0.0,194.77,,112.31,18.78,34
449,"ММЛЖ/ (рост, м)2 0 мес",>14%,C,0.1,0.0,113.24,,67.96,11.71,34
450,Экстернальное ПП,>14%,C,0.05,0.09,2.45,0.56,3.03,0.81,79
451,Алкоголь В1.,>14%,C,0.15,0.01,6.8,5.67,2.98,2.61,64
452,Вес 0 мес,>14%,D,0.1,0.01,144.0,,104.69,15.54,79
453,ИМТ 0 мес,>14%,D,0.09,0.02,48.7,,37.11,4.67,79
454,"индекс конусности ИК= ОТ(м)/0,109×√(рост(м)/вес (кг) 0 мес",>14%,D,0.05,0.02,107.45,,78.56,11.82,79
455,Грелин 1 час (нг/мл) 0 мес,>14%,D,0.1,0.01,10.73,,3.94,2.51,64
456,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 1 час 0 мес",>14%,D,0.1,0.01,37.49,,13.75,8.78,64
457,"ЭхоКГ Ао, мм, 0 мес",>14%,D,0.1,0.0,44.0,,33.09,2.08,34
458,"ЛП, мм, 0 мес",>14%,D,0.1,0.01,52.0,,40.42,3.84,34
459,"ММ ЛЖ (LVM), г, 0 мес",>14%,D,0.1,0.0,335.0,,185.95,32.34,34
460,"ИММ ЛЖ, г/кв.м, 0 мес",>14%,D,0.1,0.0,137.0,,86.7,14.07,34
461,"КДР, мм, 0 мес",>14%,D,0.1,0.0,60.0,,47.88,2.42,34
462,"КДО, мл, 0 мес",>14%,D,0.1,0.0,170.0,,105.52,16.59,34
463,"КСО, мл, 0 мес",>14%,D,0.1,0.0,74.0,,40.27,8.65,34
464,"УО, мл, 0 мес",>14%,D,0.1,0.0,96.0,,64.93,9.15,31
465,"ММЛЖ/ (рост, м)^2,7 0 мес",>14%,D,0.1,0.0,77.47,,47.86,8.72,34
466,"ММЛЖ/ (рост, м) 0 мес",>14%,D,0.1,0.0,194.77,,112.31,18.78,34
467,"ММЛЖ/ (рост, м)2 0 мес",>14%,D,0.1,0.0,113.24,,67.96,11.71,34
